dan,7h,14h,21h,7h,14h,21h,pov,TM,Tm,7h,14h,21h,pov,7h,14h,21h,7h,14h,21h,padavine,sneg
12/1/12,977.3,978.6,978.7,3,4.4,3.1,3.4,4.6,2.9,88,63,76,5.9,10,10,10, NE,  E, NE,1.3,0
12/2/12,975.8,973.4,973.7,2.4,0.8,1.1,1.4,3.3,0.6,81,97,97,6.2,10,10,10, SE ,NNE,  S ,0,1
12/3/12,976.3,977.4,978.5,0.4,3.9,0.1,1.1,4.4,0.1,95,79,96,6.1,10,1,10,WSW ,  E,NNE,10,3
12/4/12,972.6,966.6,965.8,-2.5,0.7,0.5,-0.2,0.9,-2.6,94,98,98,5.8,5,10,10,ENE,NNE,NNW ,0,1
12/5/12,966.9,968.6,971.5,1,1.6,0.4,0.9,1.7,0.4,95,93,95,6.2,10,10,10,  S ,  W ,SSW ,19.9,7
12/6/12,973.3,975.3,979.8,-0.2,0.4,-0.3,-0.1,0.8,-0.6,93,83,93,5.4,8,9,10,NNE,ENE,  S ,0,6
12/7/12,980.6,976.6,972.3,-1.5,0.1,-1.4,-1.1,0.2,-1.6,91,73,93,4.9,9,9,10,  N ,ENE,NNE,0.3,7
12/8/12,971,975.8,981.3,-2.3,-2,-2.9,-2.5,-1.3,-2.9,94,65,84,4.1,10,10,10, NE,  E,  W ,14,27
12/9/12,984.5,982.2,980.3,-8.5,-0.6,-5.7,-5.1,1.1,-8.8,89,68,92,3.5,1,1,2,  E, SW , SW ,9.5,22
12/10/12,975.4,973.1,973.9,-8,-2.9,-5.6,-5.5,-2.8,-9.1,93,87,92,3.7,10,7,3, NW ,WSW ,NNE,0,19
12/11/12,976.9,976.9,982.3,-8.1,-1.2,-6.4,-5.5,-0.6,-8.4,87,70,92,3.4,0,3,0,  N , SW ,  N ,0,15
12/12/12,985.3,986.1,987.7,-9.5,-4.2,-5.5,-6.2,-4.1,-10,91,92,90,3.5,10,9,10,  S , SW , SW ,0,14
12/13/12,987.1,985.7,985.5,-9,-3.7,-4.4,-5.4,-3.3,-9.6,92,74,85,3.4,10,3,10,SSW ,SSE , NW ,0,12
12/14/12,983.7,982.1,980.7,-0.8,1.8,1.3,0.9,1.8,-6.8,88,52,64,4.3,10,10,10,  W ,NNE,NNE,0.1,12
12/15/12,977.1,974.2,977.1,1.7,3.4,3.6,3.1,4.2,1.3,97,95,98,7.3,10,10,10, NE, NE,NNE,7.1,7
12/16/12,978.9,977.9,978.1,3.2,4.8,2.5,3.3,5.1,2.4,98,96,97,7.6,10,10,10,NNW ,  E,  E,14.1,1
12/17/12,976.5,974.6,975.4,1.5,3.3,3.1,2.8,3.5,1.4,98,95,94,7.1,10,10,10,  N ,ENE,WNW ,0.1,0
12/18/12,977.5,976.9,980.1,2.3,4.4,3.3,3.3,4.6,2,95,83,89,6.9,10,9,9,  N ,  N ,  N ,0,0
12/19/12,983.9,984.7,987.7,-0.2,5.8,0.1,1.5,7.2,-0.3,96,70,95,6,9,2,10,NNE, NE, NW ,0,0
12/20/12,987.1,984.2,981.8,-1.8,0.1,-1.5,-1.2,0.5,-1.8,100,89,97,5.4,10,9,10, SW ,ENE,SSW ,0,0
12/21/12,977.9,978.1,980.9,-1.4,1.4,1.2,0.6,1.8,-1.6,97,90,92,5.8,10,10,10, NE, NW , NE,0,0
12/22/12,984.3,986.9,986.5,1.3,1.8,1.3,1.4,2,1.2,97,85,88,6.1,10,10,10,  E,  W ,ESE ,0.5,0
12/23/12,982.2,981.7,983.4,0.6,4.9,3.5,3.1,6,0.6,93,77,83,6.4,10,5,9,  W , NE,  N ,0,0
12/24/12,984.5,984.7,985,2,9.2,9.6,7.6,9.6,1.5,92,71,76,8,7,9,10,ENE,  W ,WNW ,0,0
12/25/12,983.7,981.9,981.4,9,8.7,9.5,9.2,11.1,8.7,81,100,100,10.8,10,10,10,  W ,WSW ,WSW ,0.1,0
12/26/12,979.7,975.9,983.3,9.8,9.8,5.7,7.8,10.7,5.7,96,95,86,10.4,10,10,8,  N , NE, SE ,0.3,0
12/27/12,984.9,981,977.5,2.8,4.7,4.4,4.1,5.7,2.4,95,87,91,7.4,10,7,10, SW ,WNW ,  E,18.9,0
12/28/12,980.7,985.8,993.1,3.3,8.7,3.7,4.9,10.3,1.8,97,76,76,7.4,4,2,1,NNW , SW , SW ,1.3,0
12/29/12,996.3,993.7,991.7,-1.6,2.5,-1.1,-0.3,3.9,-1.6,95,76,95,5.4,5,2,0,ENE,  E,  E,0,0
12/30/12,989.1,987.8,994.3,-2.3,-1.2,-1.9,-1.8,-0.5,-2.6,100,93,96,5.2,10,10,10,  N ,WNW ,ENE,0,0
12/31/12,993.9,990.7,987.7,-2.6,-0.1,-1.2,-1.3,0.5,-2.7,96,88,97,5.2,10,10,10,NNE,  E,ESE ,0,0
